,,
Soviet Union Sputnik 1,4 October 1957,First Earth orbiter
Soviet Union Sputnik 2,3 November 1957,"Earth orbiter, first animal in orbit, a dog named Laika"
United States Explorer 1,1 February 1958,"Earth orbiter; first American orbiter, discovered Van Allen radiation belts"
United States Vanguard 1,17 March 1958,Earth orbiter; oldest spacecraft still in Earth orbit
Soviet Union Luna 1,2 January 1959,First lunar flyby (attempted lunar impact?)
United States Pioneer 4,3 March 1959,Lunar flyby
Soviet Union Luna 2,12 September 1959,First lunar impact
Soviet Union Luna 3,4 October 1959,Lunar flyby; First images of far side of Moon
,,
,,
,,
,,
,,
,,
,,
United States Pioneer 5,11 March 1960,Interplanetary space investigations
Soviet Union Sputnik 7,4 February 1961,Attempted Venus impact (failed to escape Earth orbit)
Soviet Union Venera 1,12 February 1961,Venus flyby (contact lost before flyby)
Soviet Union Vostok 1,12 April 1961,First manned Earth orbiter
United States Mercury-Redstone 3,5 May 1961,First American in space
United States Ranger 1,23 August 1961,Attempted lunar test flight
United States Ranger 2,18 November 1961,Attempted lunar test flight
United States Ranger 3,26 January 1962,Attempted lunar impact (missed Moon)
United States Mercury-Atlas 6,20 February 1962,First American manned Earth orbiter
United States Ranger 4,23 April 1962,Lunar impact (but unintentionally hit lunar farside and returned no data)
Soviet Union Sputnik 19,25 August 1962,Attempted Venus lander (failed to escape Earth orbit)
United States Mariner 2,27 August 1962,"First successful planetary encounter, First successful Venus flyby"
Soviet Union Sputnik 20,1 September 1962,Attempted Venus lander (failed to escape Earth orbit)
Soviet Union Sputnik 21,12 September 1962,Attempted Venus flyby (exploded)
United States Ranger 5,18 October 1962,Attempted lunar impact (missed Moon)
Soviet Union Sputnik 22,24 October 1962,Attempted Mars flyby (exploded)
Soviet Union Mars 1,1 November 1962,Mars flyby (contact lost)
Soviet Union Sputnik 24,4 November 1962,Attempted Mars lander (broke up)
Soviet Union Sputnik 25,4 January 1963,Attempted lunar lander (failed to escape Earth orbit)
Soviet Union Luna 4,2 April 1963,Attempted lunar lander (missed Moon)
Soviet Union Cosmos 21,11 November 1963,Attempted Venera test flight?
United States Ranger 6,30 January 1964,Lunar impact (cameras failed)
Soviet Union Cosmos 27,27 March 1964,Attempted Venus flyby (failed to escape Earth orbit)
Soviet Union Zond 1,2 April 1964,Venus flyby (contact lost)
United States Ranger 7,28 July 1964,Lunar impact
United States Mariner 3,5 November 1964,Attempted Mars flyby (failed to attain correct trajectory)
United States Mariner 4,28 November 1964,First Mars flyby
Soviet Union Zond 2,30 November 1964,Mars flyby (contact lost)
United States Ranger 8,17 February 1965,Lunar impact
Soviet Union Cosmos 60,12 March 1965,Attempted lunar lander (failed to escape Earth orbit)
United States Ranger 9,21 March 1965,Lunar impact
Soviet Union Luna 5,9 May 1965,Lunar impact (attempted soft landing)
Soviet Union Luna 6,8 June 1965,Attempted lunar lander (missed Moon)
Soviet Union Zond 3,18 July 1965,Lunar flyby
Soviet Union Luna 7,4 October 1965,Lunar impact (attempted soft landing)
Soviet Union Venera 2,12 November 1965,Venus flyby (contact lost)
Soviet Union Venera 3,16 November 1965,"Venus lander (contact lost). First spacecraft to reach another planet's surface, First Venus impact"
Soviet Union Cosmos 96,23 November 1965,Attempted Venus lander (stayed in Earth orbit due to launch failure)
Soviet Union Luna 8,3 December 1965,Lunar impact (attempted soft landing?)
United States Pioneer 6,16 December 1965,"Space weather"" observations"""
Soviet Union Luna 9,31 January 1966,First lunar lander
Soviet Union Cosmos 111,1 March 1966,Attempted lunar orbiter? (failed to escape Earth orbit)
Soviet Union Luna 10,31 March 1966,First lunar orbiter
United States Surveyor 1,30 May 1966,Lunar lander
United States Explorer 33,1 July 1966,Attempted lunar orbiter (failed to attain lunar orbit)
United States Lunar Orbiter 1,10 August 1966,Lunar orbiter
United States Pioneer 7,17 August 1966,"Space weather"" observations"""
Soviet Union Luna 11,24 August 1966,Lunar orbiter
United States Surveyor 2,20 September 1966,Attempted lunar lander (crashed into Moon)
Soviet Union Luna 12,22 October 1966,Lunar orbiter
United States Lunar Orbiter 2,6 November 1966,Lunar orbiter
Soviet Union Luna 13,21 December 1966,Lunar lander
United States Lunar Orbiter 3,4 February 1967,Lunar orbiter
United States Surveyor 3,17 April 1967,Lunar lander
United States Lunar Orbiter 4,8 May 1967,Lunar orbiter
Soviet Union Venera 4,12 June 1967,First Venus atmospheric probe
United States Mariner 5,14 June 1967,Venus flyby
Soviet Union Cosmos 167,17 June 1967,Attempted Venus probe (failed to escape Earth orbit)
United States Surveyor 4,14 July 1967,Attempted lunar lander (crashed into Moon)
United States Explorer 35 (IMP-E),19 July 1967,Lunar orbiter
United States Lunar Orbiter 5,1 August 1967,Lunar orbiter
United States Surveyor 5,8 September 1967,Lunar lander
United States Surveyor 6,7 November 1967,Lunar lander
United States Pioneer 8,13 December 1967,"Space weather"" observations"""
United States Surveyor 7,7 January 1968,Lunar lander
Soviet Union Zond 4,2 March 1968,Lunar programme test flight
Soviet Union Luna 14,7 April 1968,Lunar orbiter
Soviet Union Zond 5,15 September 1968,First lunar flyby and return to Earth
United States Pioneer 9,8 November 1968,"Space weather"" observations"""
Soviet Union Zond 6,10 November 1968,Lunar flyby and return to Earth
United States Apollo 8,21 December 1968,First manned lunar orbiter
Soviet Union Venera 5,5 January 1969,Venus atmospheric probe
Soviet Union Venera 6,10 January 1969,Venus atmospheric probe
United States Mariner 6,25 February 1969,Mars flyby
United States Apollo 9,3 March 1969,Manned lunar lander (LEM) flight test
United States Mariner 7,27 March 1969,Mars flyby
United States Apollo 10,18 May 1969,Manned lunar orbiter
Soviet Union Luna E-8-5 No.402,14 June 1969,"Attempted lunar sample return, first attempted sample return mission"
Soviet Union Luna 15,13 July 1969,Second attempted lunar sample return
United States Apollo 11,16 July 1969,First manned lunar landing and first successful sample return mission
Soviet Union Zond 7,7 August 1969,Lunar flyby and return to Earth
Soviet Union Cosmos 300,23 September 1969,Attempted lunar sample return? (failed to escape Earth orbit)
Soviet Union Cosmos 305,22 October 1969,Attempted lunar sample return? (failed to escape Earth orbit)
United States Apollo 12,14 November 1969,Manned lunar landing
,,
,,
,,
,,
United States Apollo 13,11 April 1970,Manned lunar flyby and return to Earth (manned lunar landing aborted)
Soviet Union Venera 7,17 August 1970,First Venus lander
Soviet Union Cosmos 359,22 August 1970,Attempted Venus probe (failed to escape Earth orbit)
Soviet Union Luna 16,12 September 1970,First robotic lunar sample return
Soviet Union Zond 8,20 October 1970,Lunar flyby and return to Earth
Soviet Union Luna 17/Lunokhod 1,10 November 1970,First lunar rover
United States Apollo 14,31 January 1971,Manned lunar landing
Soviet Union Salyut 1,19 April 1971,First space station
Soviet Union Cosmos 419,10 May 1971,Attempted Mars orbiter (failed to escape Earth orbit)
United States Mariner 9,30 May 1971,First Mars orbiter
Soviet Union Mars 2,19 May 1971,Mars orbiter and attempted lander; First Mars impact
Soviet Union Mars 3,28 May 1971,"Mars orbiter, First Mars lander (lost contact after 14.5s) and First Mars atmospheric probe"
United States Apollo 15,26 July 1971,Manned lunar landing; First manned lunar rover
Soviet Union Luna 18,2 September 1971,Attempted lunar sample return (crashed into Moon)
Soviet Union Luna 19,28 September 1971,Lunar orbiter
Soviet Union Luna 20,14 February 1972,Lunar robotic sample return
United States Pioneer 10,3 March 1972,First Jupiter flyby
Soviet Union Venera 8,27 March 1972,Venus lander
Soviet Union Cosmos 482,31 March 1972,Attempted Venus probe (failed to escape Earth orbit)
United States Apollo 16,16 April 1972,Manned lunar landing
United States Apollo 17,7 December 1972,Last manned lunar landing
Soviet Union Luna 21/Lunokhod 2,8 January 1973,Lunar rover
United States Pioneer 11,5 April 1973,Jupiter flyby and First Saturn flyby
United States Skylab,14 May 1973,First American space station
United States Explorer 49 (RAE-B),10 June 1973,Lunar orbiter/radio astronomy
Soviet Union Mars 4,21 July 1973,Mars flyby (attempted Mars orbiter)
Soviet Union Mars 5,25 July 1973,Mars orbiter
Soviet Union Mars 6,5 August 1973,Mars orbiter and attempted lander (failed due to damage on Mars landing)
Soviet Union Mars 7,9 August 1973,Mars flyby and attempted lander (missed Mars)
United States Mariner 10,4 November 1973,Venus flyby and First Mercury flyby
Soviet Union Luna 22,2 June 1974,Lunar orbiter
Soviet Union Luna 23,28 October 1974,Attempted lunar sample return (failed due to damage on lunar landing)
United States Germany Helios-A,10 December 1974,Solar observations
Soviet Union Venera 9,8 June 1975,First Venus orbiter and lander; First images from surface of Venus
Soviet Union Venera 10,14 June 1975,Venus orbiter and lander
United States Viking 1,20 August 1975,Mars orbiter and lander; First lander returning data and First pictures from Martian surface
United States Viking 2,9 September 1975,Mars orbiter and lander
United States Germany Helios-B,15 January 1976,
Soviet Union Luna 24,9 August 1976,Lunar robotic sample return
United States Voyager 2,20 August 1977,Jupiter/Saturn/first Uranus/first Neptune flyby
