Date,Significance, USSR Mission, US Mission
08/21/57,First intercontinental ballistic missile (ICBM),R-7 Semyorka,
10/04/57,"First artificial satellite
First signals from space",Sputnik 1,
11/03/57,First animal in orbit (dog Laika),Sputnik 2,
01/31/58,"First US satellite, detection of Van Allen radiation belts",,Explorer 1-ABMA
03/17/58,First solar powered satellite,,Vanguard 1-NRL
12/18/58,First communications satellite,,Project SCORE-ABMA
01/02/59,"First rocket engine restart in Earth orbit
First lunar spacecraft
First detection of solar wind",Luna 1,
01/04/59,First human-made object in heliocentric orbit,Luna 1,
02/17/59,First weather satellite,,Vanguard 2-NASA (NRL)1
02/28/59,First satellite in a polar orbit,,Discoverer 1-USAF/ARPA
06/25/59,First spy satellite to carry a camera (failed to achieve orbit),,Discoverer 4-USAF/ARPA
08/07/59,First photograph of Earth from orbit,,Explorer 6-NASA
09/14/59,First impact into another celestial body (Moon),Luna 2,
10/07/59,First photos of far side of the Moon,Luna 3,
04/01/60,First Imaging weather satellite,,TIROS-1-NASA
07/05/60,First successful US spy satellite (returned intelligence data),,GRAB-1-NRL
08/11/60,First satellite recovered intact from orbit,,Discoverer 13-USAF/ARPA
08/12/60,First passive communications satellite,,Echo 1A-NASA
08/18/60,"First successful recovery of film from an orbiting satellite
First aerial recovery of an object returning from Earth orbit",,Discoverer 14-USAF/ARPA
08/19/60,First animals and plants returned alive from space,Sputnik 5,
02/12/61,"First launch from Earth orbit of upper stage into a heliocentric orbit
First mid-course corrections
First spin-stabilisation",Venera 1,
04/12/61,"First human spaceflight (Yuri Gagarin)
First orbital flight of a manned vehicle",Vostok 1,
05/05/61,First pilot-controlled space flight (Alan Shepard),,Freedom 7
05/19/61,First planetary flyby (Venus),Venera 1,
03/07/62,First orbital solar observatory,,OSO-1-NASA
07/10/62,First active communications satellite,,Telstar-AT&T
08/12/62,First ship-to-ship radio contact,Vostok 3 / Vostok 4,
09/29/62,First artificial satellite constructed by a non-superpower, Canada — Alouette 1,
12/14/62,First planetary flyby by a US mission (Venus),,Mariner 2-NASA
06/16/63,"First woman in space (Valentina Tereshkova)
First civilian in space",Vostok 6,
06/19/63,Five-day human spaceflight record,Vostok 5,
07/19/63,"First reusable piloted spacecraft (X-15, suborbital)",,X-15 Flight 90-NASA
07/26/63,First geosynchronous satellite,,Syncom 2-NASA
12/05/63,First satellite navigation system,,NAVSAT-USN
08/19/64,First geostationary satellite,,Syncom 3-NASA
10/12/64,First multi-person crew (3),Voskhod 1,
03/18/65,"First extra-vehicular activity (""space walk"")",Voskhod 2,
03/23/65,First piloted spacecraft orbit change,,Gemini 3-NASA
07/14/65,First Mars flyby,,Mariner 4-NASA
08/29/65,Eight-day human spaceflight record,,Gemini 5-NASA
12/15/65,"First orbital rendezvous (station-keeping, no docking)2",,Gemini 6A / Gemini 7-NASA
12/18/65,14-day human spaceflight record,,Gemini 7-NASA
02/03/66,"First soft landing on another celestial body (Moon)
First photos from another celestial body",Luna 9,
03/01/66,First impact into another planet (Venus),Venera 3,
03/16/66,First spacecraft docking,,Gemini 8 / ATV-NASA
04/03/66,First artificial satellite to orbit another celestial body: the Moon,Luna 10,
09/12/66,"First direct-ascent rendezvous on first orbit
Record highest apogee, 1,374 kilometers (854 mi), for piloted Earth orbit",,Gemini 11/ATV-NASA
"November 12–14, 1966","First 5.5 hr extra-vehicular activity
First demonstration of practical work capability",,Gemini 12-NASA
10/30/67,First docking of two remote-controlled spacecraft,Cosmos 186/ Cosmos 188,
12/07/68,First orbital ultraviolet observatory,,OAO-2-NASA
12/21/68,"First human-crewed spaceflight to, and orbit of, another celestial object: the Moon",,Apollo 8-NASA
01/16/69,First crew exchange in space,"Soyuz 4 /
Soyuz 5",
07/20/69,"First humans on the Moon
First space launch from another celestial body",,Apollo 11-NASA
11/19/69,First precisely targeted piloted landing on the Moon (Surveyor 3 site),,Apollo 12-NASA
09/24/70,First robotic automatic sample return from another celestial body: the Moon,Luna 16,
11/23/70,First remote-controlled mobile vehicle on another celestial body: the Moon,Lunokhod 1,
12/12/70,First X-ray orbital observatory,,Uhuru (satellite)-NASA
12/15/70,"First soft landing on another planet (Venus)
First signals from another planet",Venera 7,
04/23/71,First human-crewed space station launched,Salyut 1,
06/29/71,"First human-crewed orbital observatory (Orion 1)
23-day manned space record",Soyuz 11 / Salyut 1,
07/31/71,First mobile vehicle lunar rover driven by humans on the Moon,,Apollo 15-NASA
11/14/71,First spacecraft to orbit another planet: Mars,,Mariner 9-NASA
11/27/71,First impact into Mars,Mars 2,
12/02/71,"First soft Mars landing
First signals from Mars surface",Mars 3,
03/03/72,First human-made object sent on escape trajectory away from the Sun,,Pioneer 10-NASA
07/15/72,First mission to enter the asteroid belt and leave inner solar system,,Pioneer 10-NASA
11/09/72,First commercially operated domestic satellite in geostationary orbit, Canada — Anik A1-Telesat,
11/15/72,First orbital gamma ray observatory,,SAS-2-NASA
05/25/73,28-day human-crewed space record,,Skylab 1-NASA
07/28/73,56-day human-crewed space record,,Skylab 2-NASA
11/16/73,84-day human-crewed space record,,Skylab 3-NASA
12/03/73,First Jupiter flyby,,Pioneer 10-NASA
02/05/74,First planetary gravitational assist (Venus flyby),,Mariner 10-NASA
03/29/74,First Mercury flyby,,Mariner 10-NASA
07/15/75,First multinational human-crewed mission,Soyuz 19,Apollo–Soyuz Test Project
